City,Country,Lat,Long,Cloudiness,Humidity,Max Temp,Wind Speed,Date
atuona,PF,-9.8,-139.03,0,75,78.31,21.39,1607615923
katherine,AU,-14.47,132.27,40,69,82.4,10.29,1607615923
hermanus,ZA,-34.42,19.23,15,69,69.01,5.99,1607615923
avarua,CK,-21.21,-159.78,21,83,78.8,8.05,1607615923
manokwari,ID,-0.87,134.08,74,76,80.67,1.43,1607615923
rikitea,PF,-23.12,-134.97,54,79,76.68,12.66,1607615924
arraial do cabo,BR,-22.84,-46.65,75,51,82.4,5.82,1607615924
port alfred,CD,-7.03,29.76,100,72,76.08,2.82,1607615924
punta arenas,PH,8.99,125.34,12,87,76.91,5.35,1607615924
mormugao,IN,15.4,73.8,75,83,82.4,4.7,1607615924
joetsu,JP,37.15,138.24,100,82,46.99,7.11,1607615924
tuktoyaktuk,CA,69.45,-133.04,90,83,-13.0,12.75,1607615925
honiara,SB,-9.43,159.95,20,100,77.0,3.36,1607615925
leningradskiy,RU,69.38,178.42,0,89,-0.02,6.35,1607615925
komsomolskiy,UZ,40.43,71.72,40,80,33.8,4.7,1607615925
vaini,TO,-21.2,-175.2,20,88,75.2,8.05,1607615925
aklavik,CA,68.22,-135.01,90,77,-2.2,3.36,1607615925
bluff,NZ,-46.6,168.33,100,94,44.01,8.01,1607615926
cheyenne,US,41.14,-104.82,1,68,30.2,8.05,1607615862
tiksi,RU,71.69,128.87,98,86,-22.97,6.67,1607615926
ilulissat,GL,69.22,-51.1,40,44,19.4,3.36,1607615926
suntar,RU,62.14,117.63,92,83,-31.97,2.19,1607615926
najran,SA,17.49,44.13,0,21,71.6,6.93,1607615927
kropotkin,RU,45.44,40.58,0,83,35.26,15.75,1607615927
ushuaia,AR,-54.8,-68.3,75,58,57.2,5.82,1607615927
isangel,VU,-19.55,169.27,100,84,78.69,13.53,1607615927
mitzic,GA,0.78,11.55,81,74,79.84,3.31,1607615927
qaanaaq,GL,77.48,-69.36,100,91,9.48,3.11,1607615928
torbay,CA,47.67,-52.73,75,87,39.99,12.75,1607615928
college,US,64.86,-147.8,90,77,1.99,0.92,1607615928
hilo,US,19.73,-155.09,75,77,69.8,4.7,1607615928
cape town,CL,-36.41,-71.9,40,39,66.2,8.05,1607615928
bonfim,BR,3.08,-59.95,83,52,89.44,9.57,1607615928
albany,US,42.6,-73.97,62,57,41.0,3.0,1607615929
katsuura,JP,35.13,140.3,40,93,48.2,3.36,1607615929
jamestown,US,42.1,-79.24,90,80,39.0,4.7,1607615929
nikolskoye,RU,59.7,30.79,0,67,21.0,8.95,1607615929
mataura,NZ,-46.19,168.86,100,94,44.01,8.01,1607615929
hofn,IS,64.25,-15.21,75,87,44.6,16.11,1607615929
bilibino,RU,68.05,166.44,93,80,-6.97,3.36,1607615930
weiser,US,44.25,-116.97,1,79,19.4,3.36,1607615930
kuzhener,RU,56.81,48.91,0,87,14.9,4.29,1607615930
bredasdorp,ZA,-34.53,20.04,45,60,71.6,11.41,1607615930
puerto escondido,ES,36.59,-6.23,40,88,64.4,17.22,1607615930
puerto ayora,ES,36.59,-6.23,40,88,64.4,17.22,1607615930
port elizabeth,CD,-7.03,29.76,100,72,76.08,2.82,1607615931
estelle,US,29.85,-90.11,20,93,66.99,4.7,1607615931
castro,BR,-24.79,-50.01,50,68,74.39,1.43,1607615646
hobart,AU,-42.88,147.33,90,66,48.2,8.05,1607615931
okha,RU,53.57,142.95,93,96,8.47,6.85,1607615932
makarov,RU,48.63,142.8,7,89,20.52,4.07,1607615932
ancud,CL,-41.87,-73.82,75,67,64.0,11.41,1607615932
cidreira,BR,-30.18,-50.21,6,70,74.14,10.11,1607615932
salina,US,38.84,-97.61,1,80,35.6,3.36,1607615932
sangar,RU,63.92,127.47,94,81,-41.89,2.89,1607615933
west bay,US,31.8,-97.09,5,44,57.2,5.82,1607615933
padang,ID,-0.95,100.35,90,74,76.32,4.88,1607615658
chuy,UY,-33.7,-53.46,0,45,84.2,6.35,1607615933
half moon bay,LR,6.38,-10.7,75,79,84.2,5.82,1607615933
puerto penasco,ES,36.59,-6.23,40,88,64.4,17.22,1607615934
barrow,US,71.29,-156.79,90,77,-2.2,11.41,1607615934
ponta do sol,PT,38.73,-28.27,75,93,64.4,17.22,1607615934
iquitos,PE,-3.75,-73.25,40,70,86.0,6.93,1607615934
pevek,RU,69.7,170.31,65,89,-1.75,6.89,1607615934
faanui,PF,-16.48,-151.75,100,76,79.2,14.12,1607615934
caraballeda,VE,10.61,-66.85,20,61,78.01,4.0,1607615935
guerrero negro,MX,17.67,-100.0,0,54,76.42,1.63,1607615935
busselton,AU,-33.65,115.33,30,59,73.0,3.0,1607615935
cayenne,GF,4.93,-52.33,75,66,87.8,13.87,1607615686
kapaa,US,22.08,-159.32,90,100,71.6,3.36,1607615935
dong hoi,CM,4.89,12.01,76,37,88.63,0.69,1607615935
bethel,US,41.37,-73.41,1,60,45.0,6.93,1607615936
porirua,NZ,-41.13,174.85,12,87,60.01,3.0,1607615936
palana,RU,59.12,159.97,100,98,15.33,4.65,1607615936
east london,IS,65.0,-15.0,90,93,37.4,4.7,1607615936
baicoi,RO,45.03,25.85,100,82,46.0,2.59,1607615937
chokurdakh,RU,70.63,147.92,67,86,-28.03,7.05,1607615937
thompson,CA,55.74,-97.86,20,84,1.4,5.82,1607615925
teguise,ES,29.06,-13.56,75,60,69.8,18.34,1607615937
port lincoln,CD,-7.03,29.76,100,72,76.08,2.82,1607615924
avera,US,33.19,-82.53,1,62,55.4,3.36,1607615938
cherskiy,RU,68.75,161.3,100,86,1.89,5.14,1607615938
kaniama,CD,-7.57,24.18,88,88,68.63,2.15,1607615938
pacific grove,US,38.48,-90.74,1,86,51.01,2.26,1607615938
hamilton,US,39.18,-84.53,75,70,48.0,5.82,1607615745
severo-kurilsk,RU,50.68,156.12,92,90,26.19,17.29,1607615939
ostersund,SE,63.18,14.64,75,92,33.01,12.75,1607615935
kalmunai,LK,7.42,81.82,64,80,77.34,8.34,1607615768
port-cartier,CA,50.03,-66.87,100,86,30.99,4.7,1607615939
chicama,PE,-7.84,-79.15,75,88,66.2,9.17,1607615940
nizhniy baskunchak,RU,45.39,39.24,0,86,39.99,11.18,1607615940
pangnirtung,CA,66.15,-65.71,75,85,14.0,3.22,1607615940
hithadhoo,MV,-0.6,73.08,45,73,82.35,10.96,1607615940
adrar,MR,20.5,-10.07,50,15,76.59,11.32,1607615940
tessalit,ML,20.2,1.01,10,13,83.46,11.23,1607615941
kaitangata,NZ,-46.28,169.85,100,93,48.0,11.99,1607615941
ambatolampy,MG,-19.38,47.42,75,93,64.4,11.41,1607615941
aksu,CN,41.12,80.26,58,94,23.58,2.53,1607615941
alofi,NU,-19.06,-169.92,5,94,77.0,10.29,1607615942
kapit,MY,2.02,112.93,99,93,76.03,2.24,1607615942
ribeira grande,ES,42.75,-8.44,90,100,57.0,6.93,1607615942
yerbogachen,RU,61.28,108.01,96,87,-18.44,2.82,1607615942
deputatskiy,RU,69.3,139.9,22,83,-32.31,4.56,1607615943
geraldton,AU,-28.77,114.6,14,88,68.0,5.82,1607615943
touros,BR,-5.2,-35.46,75,62,86.0,13.87,1607615943
sao joao da barra,IN,20.51,76.21,1,41,71.28,9.46,1607615943
lincoln,US,40.8,-96.67,1,51,44.01,3.36,1607615903
cumnock,GB,55.45,-4.27,90,87,46.4,16.11,1607615944
yeniseysk,RU,58.45,92.17,100,93,0.25,5.68,1607615661
saskylakh,RU,71.92,114.08,100,86,-18.71,13.98,1607615944
camana,PE,-16.62,-72.71,0,60,72.68,10.11,1607615944
aguadilla,PR,18.43,-67.15,1,62,84.2,12.75,1607615944
pisco,PE,-13.7,-76.22,20,73,70.0,8.05,1607615667
huesca,ES,42.14,-0.41,0,71,51.01,21.92,1607615759
kavaratti,IN,10.57,72.64,0,77,83.25,14.29,1607615945
nechanice,CZ,50.24,15.63,90,82,37.4,4.7,1607615945
teresina,BR,-5.09,-42.8,75,49,89.6,10.29,1607615931
bowen,AU,-20.02,148.23,79,83,75.2,6.93,1607615945
lagoa,PT,39.05,-27.98,95,90,64.08,25.5,1607615946
cabo san lucas,BR,-8.28,-35.03,40,61,82.4,11.41,1607615708
salihorsk,BY,52.79,27.54,100,97,24.21,17.22,1607615946
lenart,SI,46.58,15.83,75,93,37.4,8.05,1607615946
luderitz,NA,-26.65,15.16,7,69,67.15,19.55,1607615946
lardos,GR,36.09,28.02,40,63,64.99,4.7,1607615946
yar-sale,RU,66.83,70.83,84,90,-8.19,4.59,1607615947
quesnel,CA,53.0,-122.5,90,92,28.4,2.17,1607615947
waingapu,ID,-9.66,120.26,98,78,81.5,8.14,1607615947
new norfolk,LR,6.65,-10.59,75,79,84.2,5.82,1607615895
kavieng,PG,-2.57,150.8,100,80,80.94,3.96,1607615948
tezu,IN,27.92,96.17,69,48,65.37,2.93,1607615948
havoysund,NO,71.0,24.66,75,80,35.6,5.82,1607615948
beringovskiy,RU,63.05,179.32,100,94,25.21,12.8,1607615948
lasa,IT,46.62,10.7,5,73,35.01,1.12,1607615948
salalah,OM,17.02,54.09,0,29,80.6,13.87,1607615949
kruisfontein,ZA,-34.0,24.73,86,87,66.99,1.01,1607615949
iqaluit,CA,63.75,-68.51,75,73,23.0,16.11,1607615949
bengkulu,ID,-3.8,102.27,99,87,75.45,5.01,1607615949
awbari,LY,26.59,12.78,0,32,59.7,5.44,1607615949
mar del plata,ES,43.4,-4.01,75,93,55.4,9.17,1607615950
kirkwood,US,38.58,-90.41,11,66,54.0,3.06,1607615950
sao filipe,IN,20.51,76.21,1,41,71.28,9.46,1607615950
montrose,US,38.42,-108.27,40,53,35.01,0.63,1607615950
dikson,RU,73.51,80.55,39,91,-12.28,13.65,1607615950
jos,NG,9.92,8.9,100,19,83.23,5.46,1607615951
ostrovnoy,RU,68.05,39.51,40,96,29.21,22.97,1607615951
mae sai,CN,34.82,108.93,0,100,26.6,2.24,1607615951
grindavik,IS,63.84,-22.43,0,80,41.0,13.87,1607615951
alakurtti,RU,66.97,30.35,100,95,30.99,4.0,1607615951
ardakan,IR,32.31,54.02,20,75,44.6,2.24,1607615952
inta,RU,66.03,60.17,86,94,13.24,20.33,1607615952
paamiut,GL,61.99,-49.67,0,71,25.68,4.74,1607615952
marawi,PH,8.0,124.29,11,94,73.99,4.0,1607615952
tual,ID,-5.67,132.75,96,73,83.48,2.55,1607615952
westport,US,41.14,-73.36,20,52,46.99,6.93,1607615906
airai,TL,-8.93,125.41,89,96,63.73,1.19,1607615953
eureka,US,40.8,-124.16,27,96,39.99,2.86,1607615808
vila franca do campo,PT,42.03,-8.16,100,96,54.0,5.99,1607615953
joensuu,FI,62.6,29.76,0,92,17.6,3.36,1607615953
mukhen,RU,48.1,136.1,86,95,14.16,4.52,1607615954
mandal,IN,25.45,74.57,0,33,68.04,3.94,1607615954
san patricio,ML,13.3,-4.9,22,10,98.55,9.22,1607615938
villanueva de cordoba,HN,15.32,-88.0,74,81,73.0,1.07,1607615711
russell,US,32.35,-85.2,1,81,55.99,1.43,1607615955
phek,IN,25.67,94.5,58,100,45.32,0.72,1607615955
hirara,JP,24.8,125.28,89,86,73.74,20.83,1607615955
praya,CV,14.92,-23.51,75,51,80.6,19.46,1607615955
souillac,MU,-20.52,57.52,75,69,77.0,13.87,1607615955
unity,CA,52.45,-109.17,100,94,20.73,3.69,1607615955
mogok,MM,22.92,96.5,0,100,54.39,1.05,1607615781
aykhal,RU,66.0,111.5,0,65,-40.0,4.47,1607615956
lima,PE,-12.04,-77.03,90,77,68.0,9.17,1607615852
tasiilaq,GL,65.61,-37.64,5,47,15.8,4.7,1607615956
bosaso,SO,11.28,49.18,100,52,77.65,7.61,1607615956
koulamoutou,GA,-1.13,12.47,52,65,85.1,1.39,1607615957
pavlovsk,RU,50.46,40.11,0,86,20.86,10.27,1607615957
lavrentiya,RU,65.58,-171.0,0,89,7.16,5.21,1607615957
mackay,AU,-21.15,149.2,40,65,77.0,12.75,1607615957
constitucion,CL,-35.33,-72.42,49,56,64.31,15.52,1607615957
grand river south east,US,38.88,-109.5,1,44,21.2,3.36,1607615957
port blair,CD,-7.03,29.76,100,72,76.08,2.82,1607615931
roald,NO,62.58,6.13,0,56,44.6,13.87,1607615958
hami,CN,42.8,93.45,4,85,19.44,1.5,1607615958
san lorenzo,ML,13.3,-4.9,22,10,98.55,9.22,1607615938
sitka,US,57.05,-135.33,90,56,42.8,12.75,1607615958
sur,OM,22.57,59.53,0,63,73.54,13.89,1607615959
grand-lahou,CI,5.14,-5.02,48,72,83.1,9.53,1607615959
fairbanks,US,64.84,-147.72,90,84,1.99,1.03,1607615951
makhachkala,RU,42.98,47.5,4,80,33.8,8.95,1607615911
vardo,NO,70.37,31.11,75,80,35.6,20.8,1607615760
tapiosag,HU,47.4,19.63,90,93,37.4,8.05,1607615959
kattivakkam,IN,13.22,80.32,40,88,77.0,2.24,1607615960
husavik,IS,66.04,-17.34,75,80,39.2,5.82,1607615960
cairns,AU,-16.92,145.77,90,78,78.8,8.05,1607615726
nouadhibou,MR,20.93,-17.03,0,36,77.0,12.75,1607615960
kismayo,SO,-0.36,42.55,11,73,80.83,14.07,1607615960
grand gaube,US,38.88,-109.5,1,44,21.2,3.36,1607615957
taoudenni,ML,22.68,-3.98,5,15,77.38,11.83,1607615961
mahebourg,MU,-20.41,57.7,75,69,77.0,13.87,1607615961
boca do acre,IT,45.68,8.41,56,85,45.0,2.1,1607615845
garowe,SO,8.41,48.48,11,24,80.42,8.72,1607615961
mikhaylovka,RU,50.06,43.24,0,85,18.45,7.94,1607615961
yenagoa,NG,4.92,6.26,94,78,82.56,6.02,1607615962
codrington,AU,-38.27,141.97,3,86,48.94,11.72,1607615962
san quintin,ML,13.3,-4.9,22,10,98.55,9.22,1607615943
wanlaweyn,SO,2.62,44.89,11,44,82.63,13.06,1607615962
buala,SB,-8.14,159.59,98,78,79.79,5.32,1607615962
sinnamary,GF,5.38,-52.95,63,71,83.86,10.67,1607615963
tocopilla,CL,-22.09,-70.2,8,47,71.33,8.05,1607615963
lebu,CL,-37.62,-73.65,38,79,58.68,8.75,1607615963
georgetown,MY,5.41,100.34,20,94,82.0,1.12,1607615829
yellowknife,CA,62.46,-114.35,75,84,3.2,9.17,1607615935
chapais,CA,49.78,-74.85,90,85,24.8,8.05,1607615762
trabzon,TR,40.92,39.83,0,71,51.8,6.93,1607615723
ilhabela,BR,-23.78,-45.36,41,80,76.12,6.17,1607615964
longyearbyen,SJ,78.22,15.64,75,66,15.8,12.75,1607615964
provost,CA,52.35,-110.27,100,92,10.4,1.12,1607615965
oranjemund,NA,-28.55,16.43,1,75,66.02,14.76,1607615965
stramtura,RO,47.78,24.13,40,100,43.0,2.24,1607615965
fortuna,US,40.6,-124.16,47,97,42.01,3.27,1607615965
upernavik,GL,72.79,-56.15,100,97,24.37,9.35,1607615965
hovd,MN,48.01,91.64,78,77,5.54,2.82,1607615966
kyshtovka,RU,56.55,76.63,100,95,12.6,11.07,1607615966
dudinka,RU,69.41,86.18,0,74,-27.4,4.47,1607615966
governador dix-sept rosado,BR,-5.56,-46.67,49,71,83.37,4.65,1607615966
takoradi,GH,4.88,-1.76,73,76,82.56,10.4,1607615966
klaksvik,FO,62.23,-6.59,100,93,44.6,24.16,1607615966
wanning,CN,18.8,110.4,100,89,69.15,10.27,1607615967
vanimo,PG,-2.67,141.3,100,79,79.43,4.61,1607615967
yaransk,RU,57.3,47.89,0,87,14.23,4.18,1607615967
kuznechikha,RU,57.22,42.33,40,93,17.01,6.24,1607615967
abdulino,RU,53.7,53.67,0,92,6.42,3.53,1607615967
tuatapere,NZ,-46.13,167.68,100,94,44.01,8.01,1607615968
pathein,MM,16.78,94.73,0,83,69.51,5.17,1607615968
xai-xai,MZ,-25.05,33.64,0,67,79.11,16.51,1607615968
norman wells,US,35.22,-97.44,1,43,55.99,10.29,1607615968
bubaque,GW,11.28,-15.83,3,53,83.88,7.23,1607615968
mys shmidta,RU,62.06,48.62,0,90,17.85,6.46,1607615969
yelizovo,RU,53.19,158.38,1,77,3.2,2.24,1607615969
narasannapeta,IN,18.42,84.05,0,75,70.83,2.01,1607615969
jalu,LY,29.03,21.55,14,49,63.3,11.45,1607615969
